1;AK;1969;1;1;1969-01-01;Wed;14
2;AL;1969;1;1;1969-01-01;Wed;174
3;AR;1969;1;1;1969-01-01;Wed;78
4;AZ;1969;1;1;1969-01-01;Wed;84
5;CA;1969;1;1;1969-01-01;Wed;824
6;CO;1969;1;1;1969-01-01;Wed;100
7;CT;1969;1;1;1969-01-01;Wed;90
8;DC;1969;1;1;1969-01-01;Wed;88
9;DE;1969;1;1;1969-01-01;Wed;32
10;FL;1969;1;1;1969-01-01;Wed;288
11;GA;1969;1;1;1969-01-01;Wed;250
12;HI;1969;1;1;1969-01-01;Wed;40
13;IA;1969;1;1;1969-01-01;Wed;98
14;ID;1969;1;1;1969-01-01;Wed;26
15;IL;1969;1;1;1969-01-01;Wed;422
16;IN;1969;1;1;1969-01-01;Wed;260
17;KS;1969;1;1;1969-01-01;Wed;78
18;KY;1969;1;1;1969-01-01;Wed;158
19;LA;1969;1;1;1969-01-01;Wed;208
20;MA;1969;1;1;1969-01-01;Wed;202
21;MD;1969;1;1;1969-01-01;Wed;126
22;ME;1969;1;1;1969-01-01;Wed;48
23;MI;1969;1;1;1969-01-01;Wed;394
24;MN;1969;1;1;1969-01-01;Wed;158
25;MO;1969;1;1;1969-01-01;Wed;182
26;MS;1969;1;1;1969-01-01;Wed;106
27;MT;1969;1;1;1969-01-01;Wed;24
28;NC;1969;1;1;1969-01-01;Wed;244
29;ND;1969;1;1;1969-01-01;Wed;30
30;NE;1969;1;1;1969-01-01;Wed;72
31;NH;1969;1;1;1969-01-01;Wed;34
32;NJ;1969;1;1;1969-01-01;Wed;256
33;NM;1969;1;1;1969-01-01;Wed;58
34;NV;1969;1;1;1969-01-01;Wed;14
35;NY;1969;1;1;1969-01-01;Wed;686
36;OH;1969;1;1;1969-01-01;Wed;406
37;OK;1969;1;1;1969-01-01;Wed;108
38;OR;1969;1;1;1969-01-01;Wed;66
39;PA;1969;1;1;1969-01-01;Wed;398
40;RI;1969;1;1;1969-01-01;Wed;52
41;SC;1969;1;1;1969-01-01;Wed;138
42;SD;1969;1;1;1969-01-01;Wed;22
43;TN;1969;1;1;1969-01-01;Wed;180
44;TX;1969;1;1;1969-01-01;Wed;502
45;UT;1969;1;1;1969-01-01;Wed;64
46;VA;1969;1;1;1969-01-01;Wed;172
47;VT;1969;1;1;1969-01-01;Wed;20
48;WA;1969;1;1;1969-01-01;Wed;136
49;WI;1969;1;1;1969-01-01;Wed;176
50;WV;1969;1;1;1969-01-01;Wed;84
51;WY;1969;1;1;1969-01-01;Wed;16
52;AK;1969;1;2;1969-01-02;Thurs;20
53;AL;1969;1;2;1969-01-02;Thurs;172
54;AR;1969;1;2;1969-01-02;Thurs;96
55;AZ;1969;1;2;1969-01-02;Thurs;88
56;CA;1969;1;2;1969-01-02;Thurs;816
57;CO;1969;1;2;1969-01-02;Thurs;94
58;CT;1969;1;2;1969-01-02;Thurs;118
59;DC;1969;1;2;1969-01-02;Thurs;72
60;DE;1969;1;2;1969-01-02;Thurs;30
61;FL;1969;1;2;1969-01-02;Thurs;276
62;GA;1969;1;2;1969-01-02;Thurs;220
63;HI;1969;1;2;1969-01-02;Thurs;24
64;IA;1969;1;2;1969-01-02;Thurs;146
65;ID;1969;1;2;1969-01-02;Thurs;38
66;IL;1969;1;2;1969-01-02;Thurs;472
67;IN;1969;1;2;1969-01-02;Thurs;240
